Duchenne muscular dystrophy,"childhood onset, short arm x-linked disorder, absolute deficiency, decrease or absence of dystrophin (links cytoskeleton to extracellular laminin with transmembrane complex), degeneration of skeletal muscle, replacement of muscle by fibrofatty tissue, more severe type of muscular dystrophy, more common type of muscular dystrophy, diagnose with biopsy / IHC / western blot, increased serum creatine kinase, pelvic girdle weakness to shoulder girdle weakness, compensatory distal hypertrophy to pseudohypertrophy"
Becker muscular dystrophy,"childhood onset, short arm x-linked disorder, partial deficiency, decrease or absence of dystrophin (links cytoskeleton to extracellular laminin with transmembrane complex), degeneration of skeletal muscle, replacement of muscle by fibrofatty tissue, less severe type of muscular dystrophy, less common type of muscular dystrophy, diagnose with biopsy / IHC / western blot, increased serum creatine kinase, pelvic girdle weakness to shoulder girdle weakness, compensatory distal hypertrophy to pseudohypertrophy"
Myotonic dystrophy,"adult onset, autosomal dominant gene defect, associated with myotonia (inability to relax contracted muscles), mutation in dystrophia myotonica protein kinase (DMPK) encodes novel serine threonine protein kinase, often with CTG repeat expansion with <30 repeats maintaining wild type, associated with cataracts + testicular atrophy + baldness in men, weak dorsiflexion + weak hand & wrist extensors + weak facial muscles"
Mitochondrial myopathy,"childhood onset, gene mutations for oxidative phosphorylation, maternal inheritance, phenotype depends on proportion of mutant gene expressed (& must hit critical point before any phenotype), light microscopy views aggregates of reddish granular material in sarcoplasma (ragged red fiber), electron microscopy views abnormal shape & size of organelle with para-crystalline material (parking lot inclusions) & cristae alterations"
Myasthenia gravis,"variable age onset, female > male, auto Ab against ACh receptors on neuromuscular junctions, weakness & abnormal fatigue, thymus hyperplasia & thymoma are commonly found, type 2 muscle hypertrophy & lymphocyte accumulation in fascicles, weakness intensified by muscle use but recovers with rest, weakness in muscles for swallowing & chewing & speaking + muscles in the trunk + muscles in the extremities, treat with thymectomy + corticosteroids + methotrexate + anti AChE drugs"
Lambert-Eaton syndrome,"associated with paraneoplasms like small cell lung carcinoma & thymoma, associated with autoimmune diseases, auto IgG Ab against voltage sentitive calcium channels on motor nerve presynatic terminals & lung cancer cells, deficient release of ACh by nerves, weakness & wasting in proximal limbs + trunk, anti AChE drugs do not help, autonomic functions are affected"
Rhabdomyosarcoma,"adolescence onset, sarcoma of head / neck / GI, PAX3 & FKHR chromosomal fusion is common, dysregulation of muscle differentiation is thought to occur, light microscopy views round or elongated tadpole or strap cells, diagnose with skeletal muscle differentiation, treat with surgery + chemo + radiation"
Leiomyoma,"also known as fibroids, develop from smooth muscle cells of myometrium, develop in the uterus"
Superficial cutaneous leiomyosarcoma,"develop from mesenchymal cells of myometrium, develop in the uterus, usually small tumor & easily excised"
Retroperitoneal leiomyosarcoma,"develop from mesenchymal cells of myometrium, develop in the uterus, usually a large tumor & cannot be excised"
